,站名,时间,Unnamed: 2,车站
1,莘庄,22:32:00,,
1,外环路,22:34:00,,
1,莲花路,22:36:00,,
1,锦江乐园,22:39:00,,
1,上海南站,22:42:00,,
1,漕宝路,22:45:00,,
1,上海体育馆,22:48:00,,
1,徐家汇,22:50:00,,
1,衡山路,22:52:00,,
1,常熟路,22:54:00,,
1,陕西南路,22:56:00,,
1,黄陂南路,22:58:00,,
1,人民广场,23:01:00,,
1,新闸路,23:03:00,,
1,汉中路,23:05:00,,
1,上海火车站,23:08:00,,
1,中山北路,23:10:00,,
1,延长路,23:13:00,,
1,上海马戏城,23:15:00,,
1,汶水路,23:17:00,,
1,彭浦新村,23:20:00,,
1,共康路,23:23:00,,
1,通河新村,23:25:00,,
1,呼兰路,23:27:00,,
1,共富新村,23:30:00,,
1,宝安公路,23:33:00,,
1,友谊西路,23:35:00,,
1,富 锦 路,23:37:00,,
2,浦东国际机场,22:18:00,,
2,海天三路,22:21:00,,
2,远东大道,22:28:00,,
2,凌空路,22:31:00,,
2,川沙,22:34:00,,
2,华夏东路,22:39:00,,
2,创新中路,22:42:00,,
2,唐镇,22:45:00,,
2,广兰路,22:50:00,,
2,金科路,22:53:00,,
2,张江高科,22:55:00,,
2,龙阳路,22:59:00,,
2,世纪公园,23:01:00,,
2,上海科技馆,23:04:00,,
2,世纪大道,23:07:00,,
2,东昌路,23:10:00,,
2,陆家嘴,23:12:00,,
2,南京东路,23:15:00,,
2,人民广场,23:18:00,,
2,南京西路,23:21:00,,
2,静安寺,23:24:00,,
2,江苏路,23:26:00,,
2,中山公园,23:29:00,,
2,娄山关路,23:32:00,,
2,威宁路,23:35:00,,
2,北新泾,23:38:00,,
2,淞虹路,23:40:00,,
2,虹桥2号航站楼?,23:47:00,,
2,虹桥火车站,23:49:00,,
2,徐泾东,23:51:00,,
3,上海南站,22:30:00,,
3,石龙路,22:32:00,,
3,龙漕路,22:35:00,,
3,漕溪路,22:37:00,,
3,宜山路,22:39:00,,
3,虹桥路,22:41:00,,
3,延安西路,22:44:00,,
3,中山公园,22:46:00,,
3,金沙江路,22:48:00,,
3,曹杨路,22:50:00,,
3,镇坪路,22:53:00,,
3,中潭路,22:55:00,,
3,上海火车站,22:58:00,,
3,宝山路,23:01:00,,
3,东宝兴路,23:03:00,,
3,虹口足球场,23:06:00,,
3,赤峰路,23:08:00,,
3,大柏树,23:10:00,,
3,江湾镇,23:13:00,,
3,殷高西路,23:15:00,,
3,长江南路,23:18:00,,
3,淞发路,23:20:00,,
3,张华浜,23:23:00,,
3,淞滨路,23:25:00,,
3,水产路,23:27:00,,
3,宝杨路,23:30:00,,
3,友谊路,23:32:00,,
3,铁力路,23:34:00,,
3,江杨北路,23:37:00,,
4,宜山路,22:30:00,,
4,上海体育馆,22:32:00,,
4,上海体育场,22:34:00,,
4,东安路,22:36:00,,
4,大木桥路,22:37:00,,
4,鲁班路,22:39:00,,
4,西藏南路,22:42:00,,
4,南浦大桥,22:44:00,,
4,塘桥,22:47:00,,
4,蓝村路,22:49:00,,
4,浦电路4,22:51:00,,
4,世纪大道,22:53:00,,
4,浦东大道,22:56:00,,
4,杨树浦路,22:58:00,,
4,大连路,23:00:00,,
4,临平路,23:02:00,,
4,海伦路,23:04:00,,
4,宝山路,23:07:00,,
4,上海火车站,23:10:00,,
4,中潭路,23:13:00,,
4,镇坪路,23:15:00,,
4,曹杨路,23:18:00,,
4,金沙江路,23:20:00,,
4,中山公园,23:22:00,,
4,延安西路,23:24:00,,
4,虹桥路,23:27:00,,
5,莘庄,22:30:00,,
5,春申路,22:32:00,,
5,银都路,22:34:00,,
5,颛桥,22:38:00,,
5,北桥,22:41:00,,
5,剑川路,22:44:00,,
5,东川路,22:46:00,,
5,金平路,22:49:00,,
5,华宁路,22:51:00,,
