,站名,时间,Unnamed: 2
0,,往航中路↓,往虹桥火车站↓
1,新江湾城,21:55:00,22:00:00
2,殷高东路,21:56:00,22:01:00
3,三门路,21:58:00,22:03:00
4,江湾体育场,22:01:00,22:06:00
5,五角场,22:03:00,22:08:00
6,国权路,22:05:00,22:10:00
7,同济大学,22:07:00,22:12:00
8,四平路,22:09:00,22:14:00
9,邮电新村,22:11:00,22:16:00
10,海伦路,22:13:00,22:18:00
11,四川北路,22:16:00,22:21:00
12,天潼路,22:18:00,22:23:00
13,南京东路,22:20:00,22:25:00
14,豫园,22:23:00,22:28:00
15,老西门,22:25:00,22:30:00
16,新天地,22:28:00,22:33:00
17,陕西南路,22:31:00,22:36:00
18,上海图书馆,22:33:00,22:38:00
19,交通大学,22:36:00,22:41:00
20,虹桥路,22:38:00,22:43:00
21,宋园路,22:40:00,22:45:00
22,伊犁路,22:43:00,22:48:00
23,水城路,22:45:00,22:50:00
24,龙溪路,22:47:00,22:52:00
25,上海动物园,---,22:54:00
26,虹桥1号航站楼,---,22:57:00
27,虹桥2号航站楼,---,23:01:00
28,虹桥火车站,---,23:03:00
29,龙柏新村,22:51:00,---
30,紫藤路,22:53:00,---
31,航中路,22:56:00,---
