,站名,时间
0,花木路,22:30:00
1,龙阳路,22:33:00
2,芳华路,22:35:00
3,锦绣路,22:38:00
4,杨高南路,22:40:00
5,高科西路,22:43:00
6,云台路,22:45:00
7,耀华路,22:47:00
8,长清路,22:49:00
9,后滩,22:51:00
10,龙华中路,22:54:00
11,东安路,22:56:00
12,肇嘉浜路,22:58:00
13,常熟路,23:01:00
14,静安寺,23:03:00
15,昌平路,23:06:00
16,长寿路,23:08:00
17,镇坪路,23:10:00
18,岚皋路,23:13:00
19,新村路,23:15:00
20,大华三路,23:17:00
21,行知路,23:19:00
22,大场镇,23:21:00
23,场中路,23:24:00
24,上大路,23:26:00
25,南陈路,23:28:00
26,上海大学,23:31:00
27,祁华路,23:34:00
28,顾村公园,23:37:00
29,刘行,23:40:00
30,潘广路,23:42:00
31,罗南新村,23:46:00
32,美兰湖,23:48:00
